Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB044","DEBB044","Cottbus, Bahnhofstr.","SPO.DE_DEBB044_PM2_dataGroup2","PM2.5","14.328000","51.756590","75.000000","m","urban","traffic","01/01/2010 00:00:01","01/01/2024 00:00:00","SAM.DE_DEBB044_2","3.6","m","5.0","m","2.0","m","","","Transport","","","0","","","","","Cottbus","","","40.0","","","","","","15000","SPP.DE_DEBB044_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2010 00:00:01","01/01/2024 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB045","DEBB045","Frankfurt (Oder), Leipziger Str.","SPO.DE_DEBB045_PM2_dataGroup1","PM2.5","14.538590","52.337340","56.000000","m","urban","traffic","19/12/2013 00:00:01","","SAM.DE_DEBB045_2","3.6","m","1.0","m","3.0","m","","","Transport","","","0","","","","","Frankfurt (Oder)","","","90.0","","","","","","25000","SPP.DE_DEBB045_PM2_automatic_light-scat_Duration-30minute","19/12/2013 00:00:01","","automatic","light-scat","","","","","","","","yes","http://www.lugv.brandenburg.de/info/datenqualitaet-luft","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB045","DEBB045","Frankfurt (Oder), Leipziger Str.","SPO.DE_DEBB045_PM2_dataGroup2","PM2.5","14.538590","52.337340","56.000000","m","urban","traffic","01/01/2011 00:00:01","","SAM.DE_DEBB045_2","3.6","m","1.0","m","3.0","m","","","Transport","","","0","","","","","Frankfurt (Oder)","","","90.0","","","","","","25000","SPP.DE_DEBB045_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2011 00:00:01","","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB048","DEBB048","Neuruppin","SPO.DE_DEBB048_PM2_dataGroup1","PM2.5","12.809480","52.931890","43.000000","m","suburban","background","10/07/2017 00:00:01","","SAM.DE_DEBB048_2","3.5","m","","","","","","","","","","0","","","","","Neuruppin","","","","","","","","","","SPP.DE_DEBB048_PM2_automatic_light-scat_Duration-30minute","10/07/2017 00:00:01","","automatic","light-scat","","","","","","","","yes","http://cdr.eionet.europa.eu/de/eu/aqd/documents/envunufua/","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB048","DEBB048","Neuruppin","SPO.DE_DEBB048_PM2_dataGroup2","PM2.5","12.809480","52.931890","43.000000","m","suburban","background","01/01/2019 00:00:01","","SAM.DE_DEBB048_2","3.5","m","","","","","","","","","","0","","","","","Neuruppin","","","","","","","","","","SPP.DE_DEBB048_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2019 00:00:01","","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB049","DEBB049","Brandenburg, Neuendorfer Str.","SPO.DE_DEBB049_PM2_dataGroup1","PM2.5","12.548590","52.409380","33.000000","m","urban","traffic","18/11/2013 00:00:01","","SAM.DE_DEBB049_2","3.5","m","2.0","m","2.0","m","","","Transport","","","0","","","","","Brandenburg an der Havel","","","46.0","","","","","","10000","SPP.DE_DEBB049_PM2_automatic_light-scat_Duration-30minute","18/11/2013 00:00:01","","automatic","light-scat","","","","","","","","yes","http://www.lugv.brandenburg.de/info/datenqualitaet-luft","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB049","DEBB049","Brandenburg, Neuendorfer Str.","SPO.DE_DEBB049_PM2_dataGroup2","PM2.5","12.548590","52.409380","33.000000","m","urban","traffic","01/01/2015 00:00:01","01/01/2024 00:00:00","SAM.DE_DEBB049_2","3.5","m","2.0","m","2.0","m","","","Transport","","","0","","","","","Brandenburg an der Havel","","","46.0","","","","","","10000","SPP.DE_DEBB049_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2015 00:00:01","01/01/2024 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB053","DEBB053","Hasenholz (Buckow)","SPO.DE_DEBB053_PM2_dataGroup1","PM2.5","14.015170","52.563890","88.000000","m","rural-regional","background","01/01/2008 00:00:01","","SAM.DE_DEBB053_2","3.5","m","","","","","","","","","","0","","","","","Buckow (Märkische Schweiz)","","","","","","","","","","SPP.DE_DEBB053_PM2_automatic_light-scat_Duration-30minute","01/01/2008 00:00:01","","automatic","light-scat","","","","","","","","yes","http://cdr.eionet.europa.eu/de/eu/aqd/documents/envunufua/","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB053","DEBB053","Hasenholz (Buckow)","SPO.DE_DEBB053_PM2_dataGroup2","PM2.5","14.015170","52.563890","88.000000","m","rural-regional","background","02/01/2014 00:00:01","01/01/2023 00:00:00","SAM.DE_DEBB053_2","3.5","m","","","","","","","","","","0","","","","","Buckow (Märkische Schweiz)","","","","","","","","","","SPP.DE_DEBB053_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","02/01/2014 00:00:01","01/01/2023 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB054","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_PM2_dataGroup1","PM2.5","13.037470","52.393930","31.000000","m","urban","traffic","18/07/2013 00:00:01","","SAM.DE_DEBB054_2","3.5","m","2.0","m","1.0","m","","","Transport","","","0","","","","","Potsdam","","","84.0","","","","","","27000","SPP.DE_DEBB054_PM2_automatic_light-scat_Duration-30minute","18/07/2013 00:00:01","","automatic","light-scat","","","","","","","","yes","https://lfu.brandenburg.de/info/aequivalenzverfahren-luft","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB054","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_PM2_dataGroup2","PM2.5","13.037470","52.393930","31.000000","m","urban","traffic","01/01/2010 00:00:01","01/01/2025 00:00:00","SAM.DE_DEBB054_2","3.5","m","2.0","m","1.0","m","","","Transport","","","0","","","","","Potsdam","","","84.0","","","","","","27000","SPP.DE_DEBB054_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2010 00:00:01","01/01/2025 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB055","DEBB055","Brandenburg a.d. Havel","SPO.DE_DEBB055_PM2_dataGroup1","PM2.5","12.552300","52.420440","33.000000","m","suburban","background","19/02/2008 00:00:01","","SAM.DE_DEBB055_2","3.5","m","","","","","","","","","","0","","","","","Brandenburg an der Havel","","","","","","","","","","SPP.DE_DEBB055_PM2_automatic_light-scat_Duration-30minute","19/02/2008 00:00:01","","automatic","light-scat","","","","","","","","yes","https://lfu.brandenburg.de/info/aequivalenzverfahren-luft","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB055","DEBB055","Brandenburg a.d. Havel","SPO.DE_DEBB055_PM2_dataGroup1","PM2.5","12.552300","52.420440","33.000000","m","suburban","background","19/02/2008 00:00:01","","SAM.DE_DEBB055_2","3.5","m","","","","","","","","","","0","","","","","Brandenburg an der Havel","","","","","","","","","","SPP.DE_DEBB055_PM2_automatic_nephelometry_beta_Duration-30minute","19/02/2008 00:00:01","","automatic","nephelometry+beta","","","","","","","","yes","http://cdr.eionet.europa.eu/de/eu/aqd/documents/envunufua/","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB055","DEBB055","Brandenburg a.d. Havel","SPO.DE_DEBB055_PM2_dataGroup2","PM2.5","12.552300","52.420440","33.000000","m","suburban","background","01/01/2018 00:00:01","01/01/2024 00:00:00","SAM.DE_DEBB055_2","3.5","m","","","","","","","","","","0","","","","","Brandenburg an der Havel","","","","","","","","","","SPP.DE_DEBB055_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2018 00:00:01","01/01/2024 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB060","DEBB060","Eberswalde, Breite Straße","SPO.DE_DEBB060_PM2_dataGroup1","PM2.5","13.822210","52.832470","20.000000","m","urban","traffic","01/01/2008 00:00:01","01/01/2024 00:00:00","SAM.DE_DEBB060_2","3.5","m","4.0","m","2.0","m","","","Transport","","","0","","","","","Eberswalde","","","172.0","","","","","","14000","SPP.DE_DEBB060_PM2_automatic_light-scat_Duration-30minute","01/01/2008 00:00:01","01/01/2024 00:00:00","automatic","light-scat","","","","","","","","yes","http://www.lugv.brandenburg.de/sixcms/detail.php/bb1.c.349029.de","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB060","DEBB060","Eberswalde, Breite Straße","SPO.DE_DEBB060_PM2_dataGroup2","PM2.5","13.822210","52.832470","20.000000","m","urban","traffic","01/01/2022 00:00:01","01/01/2023 00:00:00","SAM.DE_DEBB060_2","3.5","m","4.0","m","2.0","m","","","Transport","","","0","","","","","Eberswalde","","","172.0","","","","","","14000","SPP.DE_DEBB060_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2022 00:00:01","01/01/2023 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
