Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0730A","DsKamGoraMOB","Kamienna Góra","SPO_PL0730A_6001_001","PM2.5","16.035120","50.788080","475.000000","m","urban","background","08/01/2020 00:00:00","30/12/2020 00:00:00","SAM_PL0730A_6001_001","3.5","m","","","","","","","Other sectors","","","0","","","","","","detached","plane","","","","","","","","SPP_PL0730A_6001_001","08/01/2020 00:00:00","30/12/2020 00:00:00","automatic","BETA","","GRIMM-EDM180","","","","","","inprogress","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0733A","DsDusznSportMOB","Duszniki-Zdrój, ul. Sportowa","SPO_PL0733A_6001_001","PM2.5","16.393310","50.402560","521.000000","m","urban","background","01/01/2019 00:00:00","","SAM_PL0733A_6001_001","3.5","m","","","","","","","Other sectors","","","0","","","","","","detached","valley-mount","","","","","","","","SPP_PL0733A_6001_001","01/01/2019 00:00:00","","automatic","BETA","","GRIMM-EDM180","","","","","","inprogress","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0734A","DsJaworMOB","Jawor","SPO_PL0734A_6001_001","PM2.5","16.202320","51.049210","201.000000","m","urban","background","01/01/2019 00:00:00","31/12/2019 00:00:00","SAM_PL0734A_6001_001","3.5","m","","","","","","","Other sectors","","","0","","","","","","detached","plane","","","","","","","","SPP_PL0734A_6001_001","01/01/2019 00:00:00","31/12/2019 00:00:00","automatic","BETA","","unknown","","","","","","inprogress","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0738A","DsLegPolarna","Legnica, ul. Polarna","SPO_PL0738A_6001_001","PM2.5","16.183780","51.208100","123.000000","m","urban","background","01/01/2019 00:00:00","","SAM_PL0738A_6001_001","1.6","m","","","","","","","Other sectors","","","0","","","","","","detached","plane","","","","","","","30000","SPP_PL0738A_6001_001","01/01/2019 00:00:00","","active","","","","","LVSauto2.3","","gravi","","ref","","2.00","ug.m-3","QA/QC procedures","","1","day","1","day","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0745A","DsNowRudJezi","Nowa Ruda, ul. Jeziorna","SPO_PL0745A_6001_001","PM2.5","16.498250","50.581490","383.000000","m","urban","background","13/11/2025 00:00:00","","SAM_PL0745A_6001_001","4.0","m","","","","","","","Other sectors","","","0","","","","","","detached","basin-mount","","","","","","","","SPP_PL0745A_6001_001","13/11/2025 00:00:00","","automatic","OPC-CMC","","undetermined","","","","","","inprogress","","-999","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0778A","DsMiliczMOB","Milicz","SPO_PL0778A_6001_001","PM2.5","17.276840","51.527850","110.000000","m","urban","background","08/01/2021 00:00:00","31/12/2021 00:00:00","SAM_PL0778A_6001_001","3.5","m","","","","","","","Other sectors","","","0","","","","","","detached","plane","","","","","","","","SPP_PL0778A_6001_001","08/01/2021 00:00:00","31/12/2021 00:00:00","automatic","BETA","","undetermined","","","","","","yes","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0803A","DsJedlinaZdrMOB","Jedlina-Zdrój, ul. Piastowska","SPO_PL0803A_6001_001","PM2.5","16.349020","50.720620","493.000000","m","urban","background","13/01/2022 00:00:00","31/12/2022 00:00:00","SAM_PL0803A_6001_001","3.5","m","","","","","","","Other sectors","","","0","","","","","","elevated","hilly","","","","","","","","SPP_PL0803A_6001_001","13/01/2022 00:00:00","31/12/2022 00:00:00","automatic","other","Other","undetermined","","","","","","inprogress","","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0804A","DsLwowekSlasMOB","Lwówek Śląski, al. Wojska Polskiego","SPO_PL0804A_6001_001","PM2.5","15.585240","51.113030","218.000000","m","urban","background","13/01/2022 00:00:00","31/12/2023 00:00:00","SAM_PL0804A_6001_001","3.5","m","","","","","","","Other sectors","","","0","","","","","","detached","hilly","","","","","","","","SPP_PL0804A_6001_001","13/01/2022 00:00:00","31/12/2023 00:00:00","automatic","other","Other","undetermined","","","","","","inprogress","","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0835A","DsPolanZdrojMOB","Polanica-Zdrój al. Zwycięzców","SPO_PL0835A_6001_001","PM2.5","16.513860","50.398830","369.000000","m","urban","background","11/01/2023 00:00:00","31/12/2023 00:00:00","SAM_PL0835A_6001_001","4.3","m","","","","","","","Other sectors","","","0","","","","","","open","basin","","","","","","","","SPP_PL0835A_6001_001","11/01/2023 00:00:00","31/12/2023 00:00:00","automatic","BETA","","undetermined","","","","","","inprogress","","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0836A","DsChojnowMalMOB","Chojnów, ul. S. Małachowskiego ","SPO_PL0836A_6001_001","PM2.5","15.929800","51.274280","150.000000","m","urban","background","12/01/2024 00:00:00","31/12/2024 00:00:00","SAM_PL0836A_6001_001","3.5","m","","","","","","","Other sectors","","","0","","","","","","detached","hilly","","","","","","","","SPP_PL0836A_6001_001","12/01/2024 00:00:00","31/12/2024 00:00:00","automatic","BETA","","undetermined","","","","","","inprogress","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
